Timestamp,,What is your role in the course you are reflecting on? ,What topics did you cover this week?,What kinds of activities did your students focus  on this week out of class?  [Reading/Research],What kinds of activities did your students focus  on this week out of class?  [Continuing/Finishing In-Class Work],What kinds of activities did your students focus  on this week out of class?  [Homework Problems/Assignments],What kinds of activities did your students focus  on this week out of class?  [Out-of-Class Labs],What kinds of activities did your students focus  on this week out of class?  [Multi-Week Project Experience],What kinds of activities did your students focus  on this week out of class?  [Other],What questions did students raise this week?,"By observation, what concepts or processes did students struggle with?",Which student questions were surprising to you?
1/24/2020 14:44,T15C,Teaching Assistant,Meeting Scheduling / Project Group Introductions and Organization,N/A,N/A,N/A,N/A,Some Time,N/A,None,None,None
2/3/2020 9:14,T15C,Teaching Assistant,"Github, IDEAR, Exploratory data analysis, data acquisition ",Most Time,Least Time,Least Time,Least Time,Most Time,Least Time,"Why do we need Github, what is Github",grasping how to use github and why. even after explaining the purpose and process of github it was still VERY challenging for students to understand it/get on board with it,“So Github is basically just for us to look at other peoples’ old projects?”
2/7/2020 14:41,T15C,Teaching Assistant,"data acquisition/exploration, github setups, ",Most Time,Least Time,Some Time,Least Time,Some Time,Least Time,Github,"Probably need to go over data cleaning briefly like good practices (in order to change nulls to zeros you shouldn’t be just changing it in excel...), more github (but this is getting better)",People editing the raw data...
2/21/2020 14:43,T15C,Teaching Assistant,Data acquisition and pre-processing,Least Time,Some Time,Most Time,Least Time,Some Time,Least Time,"Concerns about the midterm take-home exam, how to tackle their data","Simple coding, creating the Layered Designs to turn in ",A LOT of students I talked to struggled on the midterm. there are a significant amount that have very very little coding knowledge and struggled with even the most basic commands
9/28/2019 17:20,F16B,Faculty/Instructor,"Barplots, color theory, data collection",Some Time,Most Time,Some Time,Some Time,N/A,N/A,How can you manually change colors of bars in barplot using ggplot2,Understanding what data they should be collecting for first mini-project,nothing stands out
10/5/2019 10:28,F16B,Faculty/Instructor,"Midterm review of data viz topics, trend lines (regression + LOESS), shiny interactive visualizations in RStudio, project",Some Time,Most Time,Least Time,Least Time,Most Time,,Deep question into the specifics of LOESS smoother algorithm.,"Shiny. It's WAYYY too early to introduce this. Mostly b/c debugging Shiny is a PITA, and many of my students have NO experience debugging Shiny.",
10/11/2019 13:32,F16B,Faculty/Instructor,"Intro data wrangling, working on projects",Least Time,Most Time,Least Time,Least Time,Most Time,,"Mostly clarifications of first project expectations. As it was the first time I had assigned it, it was sufficient as a minimally viable product. But I definitely need to clean things up for the next time I assign it.","Not so much struggle, but they wanted to do data wrangling, but we hadn't covered it yet. ",None that I can remember
10/18/2019 15:09,F16B,Faculty/Instructor,"Data wrangling: grouping rows, summarizing rows, creating new variables, and sorting rows in a dataset. ",Most Time,Most Time,Most Time,Least Time,Least Time,Least Time,Why their R Markdown document was not compiling.,"Data wrangling is hard. A lot of students struggled with this week's problem set, including debugging their R Markdown documents. We're now reaching the point where students need to learn how to learn to debug.",Hard to remember this late in the week. 
10/25/2019 17:59,F16B,Faculty/Instructor,"joining/merging data frames, data wrangling exercises,",Least Time,Most Time,Some Time,Least Time,Some Time,Least Time,,"Difference between all the types of joins: left_join, inner_join, ",
11/1/2019 17:42,F16B,Faculty/Instructor,Students worked on projects all week,Least Time,Most Time,Most Time,Least Time,Most Time,Least Time,The codebook for the house elections data sucks. It was hard to understand what all the variables meant.,"What constitutes a ""non-redundant"" graph",*Completed Student Survey
11/9/2019 5:23,F16B,Faculty/Instructor,"maps, practice exam",Some Time,,Most Time,Least Time,Least Time,,Where to find map data.,How do coordinate reference system projects work?,*Completed Student Survey
11/15/2019 7:07,F16B,Faculty/Instructor,"Maps, GIS, API's",Least Time,Some Time,Some Time,Least Time,Some Time,Least Time,How to navigate error messages. ,Learning to decipher error messages in R. Learning new tools on their own.,
11/22/2019 14:52,F16B,Faculty/Instructor,"Guy and GitHub, website deployment",Least Time,Some Time,Least Time,Least Time,Most Time,Least Time,How do I deploy a local version of a webpage online?,,
12/6/2019 16:05,F16B,Faculty/Instructor,GitHub,Least Time,Least Time,Some Time,Least Time,Most Time,Least Time,What the hell GitHub is,the github terminology,
2/16/2020 13:10,F17B,Faculty/Instructor,"this week we didn't cover much new material, since they are using a fair amount of class time to work on projects. We did clear up a number of misconceptions and coding mistakes surrounding ggplot2, as well as discussed some workflow issues like RStudio Projects and GitHub. ",Some Time,N/A,Some Time,Some Time,Most Time,N/A,"How they would be evaluated for their first mini-project, how they could collaborate effectively on a group project, how to clean data, and how to reshape data. ","Some students are still struggling to understand the difference between mapping an aesthetic (i.e. color) to a variable vs. setting the aesthetic to a constant value. Students are learning more about how to manipulate scales (especially color) after having previously expressed confusion about what scales were. Many students asked questions about data cleaning and data wrangling, which is good because that is what we will cover next week. ","I was surprised at how many students were eager to use GitHub, even though I haven't told them how it works yet. My approach is to let them feel the pain of collaborating without GitHub first, and then use that pain as motivation to learn GitHub next time. I'm wondering if our rigorous GitHub proselytizing is starting to pay dividends. "
2/25/2020 20:23,F17B,Faculty/Instructor,dplyr single table verbs and aggregation,Some Time,Most Time,Some Time,Some Time,Some Time,,"whether it matters what order you put a pipeline, What to do with NA values. ",summarize(). It was hard for them to wrap their minds around the idea of collapsing a data.frame down to one row using aggregate functions.,Many students struggled to compute the BMI correctly in HW3 because they were computing the BMI of a person with average height and average mass and not the mean BMI across people. 
2/28/2020 11:16,F17B,Faculty/Instructor,"joining tables, tidying data, and writing functions",Some Time,Most Time,Some Time,Some Time,Least Time,,"how to deal with missing values, how to pass values through a function, in what order to write operations in a pipeline","They seem OK now, but I can tell that they will have much more trouble over the next two weeks, when they will be asked to put these concepts into practice with much less scaffolding. ","One thing I saw over and over again was that instead of calculating the mean BMI among a group of humans, they calculated the BMI of a person of average height and weight. This isn't related to the class, but it was notable how many students made this mistake."
3/12/2020 9:39,F17B,Faculty/Instructor,iteration and GitHub,Some Time,Some Time,Most Time,Some Time,Some Time,,how to figure out how to do this in ggplot2 like change the font. There is still widespread confusion about GitHub,Many students still have a hard time wrangling data when given an open-ended problem. Many students are struggling to understand how functions work and how map() works. ,"I was pleasantly surprised at the level of buy-in and competence with GitHub, especially for an intro class. I think that we are starting to see more students come in with some GitHub familiarity, and I think I did a better job of explaining how it works. We'll see how they do in the coming weeks. "
3/13/2020 12:35,F17B,Faculty/Instructor,"the data set they are working on, importing data into R",Some Time,Some Time,Least Time,Some Time,Most Time,,Lots of questions about the campaign finance data set that they are working with for their second mini-project. ,File paths remain a mystery to most students. Their understanding of the file system is quite limited. ,One student wanted to know if R could import data from a Dell Data Cube??
1/24/2020 7:33,F18C,Faculty/Instructor,Python Programming (week of Jan 13th),Some Time,N/A,Most Time,N/A,N/A,N/A,"Issues recognizing differences between lists and arrays
Issues with missing closing symbols on previous lines.","Ordering operations in GIT
Debugging errors in python code.",None.
1/29/2020 10:51,F18C,Faculty/Instructor,"Data Types, Project Management",Least Time,N/A,N/A,Some Time,Some Time,N/A,None that I recall (from last week),"Struggled with differences between ""Interval"" and ""Ratio"" data-types. 
Struggled with the ambiguity inherent in data classification when insufficient information is given about what the data IS.",don't recall.
2/4/2020 9:16,F18C,Faculty/Instructor,"Github, project management, data preprocessing, data cleaning, exploratory data analysis",Least Time,N/A,Most Time,Some Time,Some Time,,Lots of questions about using Github. Questions about how to connect their out-of-class learning with their projects and in-class lectures. How to handle noisy data.,Setting up github repositories proved extremely challenging. I will not be able to assess what they have picked up on data cleaning until mid-feb when they start using those skills.,"Lots of questions about ""process"" for the semester-long project. I wasn't clear enough about what some ideas and terms were before I started using them. "
2/19/2020 15:19,F18C,Faculty/Instructor,"Intro to Machine Learning, Naive Bayes",Least Time,N/A,N/A,Least Time,Most Time,N/A,Lots about logistics of class. Concerns about how to import data into jupyter. Differences between jupyter notebooks and python scripts.,Grasping Naive Bayes. grasping the idea of iterative project planning. ,
2/21/2020 8:21,F19A,Faculty/Instructor,Pre-processing data,Least Time,Most Time,Least Time,Least Time,Most Time,,How to recognize the underlying coding in Python libraries,Applying the foundational coding skills learned in the prerequisite CS class to actual dataframe manipulation,They wanted to know what was the most complex text analysis in Python
3/6/2020 5:04,F19A,Faculty/Instructor,"Working with Tables In Python, Exploratory Data Analysis",Least Time,Most Time,N/A,N/A,Most Time,,Mainly python programming.  Multiple methods to execute the same outcomes,The variety of programming options available to them within Python,Basic statistical principles
